"time","bus","location","direction","alg","count"
1,1,1,1,"elevator",0
1,2,1,-1,"elevator",0
1,3,5,1,"elevator",0
1,4,5,-1,"elevator",0
1,5,10,-1,"elevator",0
2,1,1.41335725543075,1,"elevator",0
2,2,1,0,"elevator",0
2,3,5,0,"elevator",0
2,4,5,0,"elevator",0
2,5,9.81913050138011,-1,"elevator",0
3,1,1.82671451086151,1,"elevator",4
3,2,1,0,"elevator",2
3,3,5,0,"elevator",1
3,4,5.98965380736253,1,"elevator",0
3,5,9.63826100276021,-1,"elevator",0
4,1,1.99253603831011,1,"elevator",4
4,2,1.57238157387568,1,"elevator",3
4,3,5.45650957785637,1,"elevator",1
4,4,6.97930761472506,1,"elevator",0
4,5,9.45739150414032,-1,"elevator",0
5,1,2.15835756575871,1,"elevator",4
5,2,2.291691274052,1,"elevator",10
5,3,5.91301915571273,1,"elevator",2
5,4,7.34573929482234,1,"elevator",0
5,5,9.27652200552043,-1,"elevator",0
6,1,2.32417909320731,1,"elevator",4
6,2,2.54509288806682,1,"elevator",10
6,3,6.13928217366963,1,"elevator",2
6,4,7.71217097491963,1,"elevator",1
6,5,9.09565250690053,-1,"elevator",3
7,1,2.49000062065591,1,"elevator",4
7,2,2.79849450208164,1,"elevator",10
7,3,6.36554519162652,1,"elevator",2
7,4,8.31561741974674,1,"elevator",1
7,5,8.82626416681414,-1,"elevator",3
8,1,2.65582214810451,1,"elevator",4
8,2,3.05189611609646,1,"elevator",10
8,3,6.59180820958341,1,"elevator",2
8,4,8.91906386457386,1,"elevator",0
8,5,8.55687582672775,-1,"elevator",3
9,1,2.82164367555311,1,"elevator",4
9,2,3.30529773011128,1,"elevator",10
9,3,6.81807122754031,1,"elevator",1
9,4,9.13504381958099,1,"elevator",0
9,5,8.28748748664136,-1,"elevator",3
10,1,2.98746520300171,1,"elevator",5
10,2,3.5586993441261,1,"elevator",10
10,3,7.49408146230521,1,"elevator",0
10,4,9.35102377458813,1,"elevator",0
10,5,8.01809914655496,-1,"elevator",3
11,1,3.52286152417505,1,"elevator",7
11,2,3.81210095814092,1,"elevator",9
11,3,8,0,"elevator",0
11,4,9.56700372959526,1,"elevator",0
11,5,7.78020295485993,-1,"elevator",3
12,1,4.23601671245688,1,"elevator",7
12,2,4.46733206015674,1,"elevator",7
12,3,7.30551666893139,-1,"elevator",0
12,4,9.7829836846024,1,"elevator",0
12,5,7.54230676316489,-1,"elevator",3
13,1,4.9491719007387,1,"elevator",7
13,2,4.63629925606102,1,"elevator",7
13,3,6.98670145490297,-1,"elevator",0
13,4,9.99896363960954,1,"elevator",1
13,5,7.30441057146985,-1,"elevator",3
14,1,5.1264155594978,1,"elevator",7
14,2,4.8052664519653,1,"elevator",7
14,3,6.66788624087454,-1,"elevator",0
14,4,9.04227676934484,-1,"elevator",1
14,5,7.06651437977481,-1,"elevator",6
15,1,5.3036592182569,1,"elevator",7
15,2,4.97423364786959,1,"elevator",7
15,3,6.34907102684611,-1,"elevator",0
15,4,8.08558989908015,-1,"elevator",2
15,5,6.82259177835742,-1,"elevator",6
16,1,5.480902877016,1,"elevator",7
16,2,5.14320084377387,1,"elevator",7
16,3,6.03025581281768,-1,"elevator",0
