"alg","iteration","mean.service.time","total.run.time","total.bus.distance"
"B",1,23.6065450448273,51,978
"B",2,22.5024505831323,47,1261
"B",3,22.2304729978418,42,1109
"B",4,21.865292262787,46,1262
"B",5,20.6739277684913,55,1593
"B",6,22.1110316933675,45,1095
"B",7,28.3532756644762,64,1289
"B",8,24.1117877984083,68,1577
"B",9,20.4199689651061,49,1027
"B",10,20.1284268759314,54,1749
"B",11,20.3954513627372,55,1295
"B",12,19.9372070891876,53,1141
"B",13,23.3442040842639,60,1381
"B",14,19.3752044779567,48,1169
"B",15,26.051024445271,42,1053
"B",16,22.7021097982374,48,1289
"B",17,25.5925425801618,56,1725
"B",18,24.9348770532087,55,1593
"B",19,15.6409534746409,38,1017
"B",20,15.748492879391,39,1433
"B",21,20.9670931560954,62,1769
"B",22,27.1388480465618,68,1821
"B",23,25.071167416161,60,1470
"B",24,18.8802391057889,57,1825
"B",25,23.0969333101506,53,1317
"B",26,20.0994287803527,56,1694
"B",27,20.7908713752411,42,943
"B",28,21.7156474400897,56,1552
"B",29,20.7847571508193,49,1485
"B",30,18.301348979747,44,948
"C",1,26.9931484895033,65,2210
"C",2,17.5375701809843,45,1245
"C",3,26.9516573337729,60,1655
"C",4,28.5606386662239,73,1777
"C",5,19.6105878430966,49,1455
"C",6,28.3470302406143,64,1619
"C",7,24.2812865232503,60,2142
"C",8,23.0408048619871,56,1752
"C",9,20.4924938273937,50,1545
"C",10,26.5654264440729,73,2058
"C",11,19.7780854960412,53,1883
"C",12,23.8780361640064,74,2143
"C",13,36.3041713456683,79,2201
"C",14,25.3621292841871,61,1885
"C",15,22.6314361871052,58,1758
"C",16,25.9259533868694,78,2322
"C",17,22.9671029018361,57,1854
"C",18,28.4388143074802,69,1779
"C",19,21.5636727439055,57,1811
"C",20,18.0364576038843,74,1979
"C",21,17.0832860209651,51,1501
"C",22,29.4077075062259,63,2106
"C",23,25.9386494534983,54,1599
"C",24,23.3808246692509,59,1981
"C",25,27.8817977794786,69,2012
"C",26,25.5079783770651,66,1657
"C",27,27.1846777936363,64,2030
"C",28,21.8015696443188,72,2433
"C",29,27.4396749633846,61,1679
"C",30,21.5986621889955,60,1619
"A",1,29.0926621941442,78,1959
"A",2,28.0013419083596,60,1900
"A",3,27.2246715721278,62,2124
"A",4,22.1221000068236,51,1823
"A",5,23.1085693616695,75,1613
"A",6,22.7214993234983,55,1779
"A",7,22.8825892968389,54,1813
"A",8,25.5367405756214,61,2084
"A",9,23.647284185052,62,1963
"A",10,28.4975700315862,77,2305
"A",11,22.8595220885505,53,1673
"A",12,27.9046666603901,75,1879
"A",13,23.2502423522865,58,1705
"A",14,23.9828726030215,56,1639
"A",15,24.2611332288094,54,1350
"A",16,25.0532640677304,59,1316
"A",17,19.3848519915019,54,1431
"A",18,26.3500134045105,65,1730
"A",19,30.0459464109742,91,2129
"A",20,23.7364839630582,80,2641
"A",21,28.6427960311646,68,2339
"A",22,30.0553582386936,75,2447
"A",23,28.2246362678176,52,1752
"A",24,29.0950048540942,67,1591
"A",25,27.760199508424,60,1319
"A",26,27.0668826120964,77,2015
"A",27,29.1616396264663,120,1407
"A",28,27.0257710633382,56,1674
"A",29,28.7500673623067,64,1842
"A",30,22.5257710555144,49,1263
