"time","alg","direction","bus","location","arrive","board"
1,"elevator",1,1,4,23.1596479385385,11.8911874380819
1,"elevator",-1,5,6,22.2196275365842,18.3723475134222
2,"elevator",1,1,2,18.9287204214709,3.41921482413056
2,"elevator",1,1,2,24.5461293472668,3.41921482413056
2,"elevator",1,1,2,23.1596479385385,3.41921482413056
2,"elevator",1,2,3,21.0708017709632,5.98470620620629
2,"elevator",1,1,4,23.1596479385385,11.8911874380819
2,"elevator",1,1,4,18.9287204214709,11.8911874380819
2,"elevator",-1,5,6,22.2196275365842,18.3723475134222
2,"elevator",1,4,8,8.18339160807289,6.78549165018689
2,"elevator",-1,5,9,18.3723475134222,6.52884818960853
3,"elevator",1,1,2,18.9287204214709,3.41921482413056
3,"elevator",1,1,2,24.5461293472668,3.41921482413056
3,"elevator",1,1,2,23.1596479385385,3.41921482413056
3,"elevator",1,1,2,18.9287204214709,3.41921482413056
3,"elevator",1,2,3,21.0708017709632,5.98470620620629
3,"elevator",1,2,3,12.812946666,5.98470620620629
3,"elevator",1,1,4,23.1596479385385,11.8911874380819
3,"elevator",1,1,4,18.9287204214709,11.8911874380819
3,"elevator",-1,5,6,22.2196275365842,18.3723475134222
3,"elevator",1,4,8,8.18339160807289,6.78549165018689
3,"elevator",-1,5,9,18.3723475134222,6.52884818960853
3,"elevator",-1,5,9,22.2196275365842,6.52884818960853
4,"elevator",1,4,1,45.1967874587016,29.761137437196
4,"elevator",1,2,2,33.7598514249677,4.74708628935913
4,"elevator",1,2,3,21.0708017709632,5.98470620620629
4,"elevator",1,2,3,12.812946666,5.98470620620629
4,"elevator",1,2,3,12.812946666,5.98470620620629
4,"elevator",1,2,3,36.6568566246647,5.98470620620629
4,"elevator",1,2,3,37.6410422562801,5.98470620620629
4,"elevator",1,1,4,23.1596479385385,11.8911874380819
4,"elevator",1,1,4,18.9287204214709,11.8911874380819
4,"elevator",-1,5,6,22.2196275365842,18.3723475134222
4,"elevator",-1,4,6,24.8642413477627,18.8536303465551
4,"elevator",-1,5,7,22.2196275365842,14.2795941343192
4,"elevator",1,4,8,8.18339160807289,6.78549165018689
4,"elevator",-1,5,9,18.3723475134222,6.52884818960853
4,"elevator",-1,5,9,22.2196275365842,6.52884818960853
5,"elevator",1,4,1,45.1967874587016,29.761137437196
5,"elevator",1,5,1,35.0301128227513,30.769293232712
5,"elevator",1,5,1,45.9991285557924,30.769293232712
5,"elevator",1,4,2,37.486355306626,31.7390351430494
5,"elevator",1,4,2,40.3467098686944,31.7390351430494
5,"elevator",1,2,3,21.0708017709632,5.98470620620629
5,"elevator",1,2,3,12.812946666,5.98470620620629
5,"elevator",1,2,3,12.812946666,5.98470620620629
5,"elevator",1,2,3,36.6568566246647,5.98470620620629
5,"elevator",1,2,3,37.6410422562801,5.98470620620629
5,"elevator",-1,4,3,26.7773848562806,22.6093389873552
5,"elevator",1,2,3,37.6410422562801,5.98470620620629
5,"elevator",-1,4,3,26.7773848562806,22.6093389873552
5,"elevator",1,2,3,26.1961060586669,5.98470620620629
5,"elevator",1,1,4,23.1596479385385,11.8911874380819
5,"elevator",1,1,4,18.9287204214709,11.8911874380819
5,"elevator",-1,5,6,22.2196275365842,18.3723475134222
5,"elevator",-1,4,6,24.8642413477627,18.8536303465551
5,"elevator",1,3,6,10.7483888729447,5.19053454408493
5,"elevator",-1,5,7,22.2196275365842,14.2795941343192
